Ep 4050 | Test Rate: 0.20 | Rew: -282.2
Ep 4100 | Test Rate: 0.00 | Rew: -395.8
Ep 4150 | Test Rate: 0.00 | Rew: -398.0
Ep 4200 | Test Rate: 0.00 | Rew: -396.8
Ep 4250 | Test Rate: 0.00 | Rew: -397.6
Ep 4300 | Test Rate: 0.00 | Rew: -398.0
Ep 4350 | Test Rate: 0.00 | Rew: -397.4
Ep 4400 | Test Rate: 0.00 | Rew: -388.4
Ep 4450 | Test Rate: 0.00 | Rew: -397.8
Ep 4500 | Test Rate: 0.00 | Rew: -377.8
Ep 4550 | Test Rate: 0.00 | Rew: -396.8
Ep 4600 | Test Rate: 0.00 | Rew: -397.0
Ep 4650 | Test Rate: 0.00 | Rew: -392.0
Ep 4700 | Test Rate: 0.00 | Rew: -397.4
Ep 4750 | Test Rate: 0.00 | Rew: -397.4
Ep 4800 | Test Rate: 0.00 | Rew: -397.8
Ep 4850 | Test Rate: 0.00 | Rew: -398.0
Ep 4900 | Test Rate: 0.00 | Rew: -386.8
Ep 4950 | Test Rate: 0.00 | Rew: -396.0
Ep 5000 | Test Rate: 0.00 | Rew: -397.0
