Ep 1800 | Test Rate: 0.00 | Rew: -283.2
Ep 1850 | Test Rate: 0.00 | Rew: -339.6
Ep 1900 | Test Rate: 0.00 | Rew: -246.2
Ep 1950 | Test Rate: 0.00 | Rew: -244.4
Ep 2000 | Test Rate: 0.00 | Rew: -283.4
Ep 2050 | Test Rate: 0.00 | Rew: -283.4
Ep 2100 | Test Rate: 0.00 | Rew: -245.4
Ep 2150 | Test Rate: 0.00 | Rew: -264.8
Ep 2200 | Test Rate: 0.00 | Rew: -340.8
Ep 2250 | Test Rate: 0.00 | Rew: -301.8
Ep 2300 | Test Rate: 0.00 | Rew: -246.2
Ep 2350 | Test Rate: 0.00 | Rew: -228.4
Ep 2400 | Test Rate: 0.00 | Rew: -266.2
Ep 2450 | Test Rate: 0.00 | Rew: -208.6
Ep 2500 | Test Rate: 0.00 | Rew: -360.2
Ep 2550 | Test Rate: 0.00 | Rew: -264.0
Ep 2600 | Test Rate: 0.00 | Rew: -245.4
Ep 2650 | Test Rate: 0.00 | Rew: -227.4
Ep 2700 | Test Rate: 0.00 | Rew: -328.8
Ep 2750 | Test Rate: 0.00 | Rew: -322.4
Ep 2800 | Test Rate: 0.00 | Rew: -272.4
Ep 2850 | Test Rate: 0.00 | Rew: -227.2
Ep 2900 | Test Rate: 0.00 | Rew: -379.2
Ep 2950 | Test Rate: 0.00 | Rew: -334.0
Ep 3000 | Test Rate: 0.00 | Rew: -340.4
Ep 3050 | Test Rate: 0.00 | Rew: -340.6
Ep 3100 | Test Rate: 0.00 | Rew: -321.0
Ep 3150 | Test Rate: 0.00 | Rew: -302.6
Ep 3200 | Test Rate: 0.00 | Rew: -264.0
Ep 3250 | Test Rate: 0.00 | Rew: -264.8
Ep 3300 | Test Rate: 0.00 | Rew: -254.2
Ep 3350 | Test Rate: 0.00 | Rew: -379.2
Ep 3400 | Test Rate: 0.00 | Rew: -283.6
Ep 3450 | Test Rate: 0.00 | Rew: -264.0
Ep 3500 | Test Rate: 0.00 | Rew: -264.2
Ep 3550 | Test Rate: 0.00 | Rew: -226.0
Ep 3600 | Test Rate: 0.00 | Rew: -282.4
Ep 3650 | Test Rate: 0.00 | Rew: -321.6
Ep 3700 | Test Rate: 0.00 | Rew: -302.8
Ep 3750 | Test Rate: 0.00 | Rew: -359.6
Ep 3800 | Test Rate: 0.00 | Rew: -398.0
Ep 3850 | Test Rate: 0.00 | Rew: -378.4
Ep 3900 | Test Rate: 0.00 | Rew: -321.6
Ep 3950 | Test Rate: 0.00 | Rew: -359.8
Ep 4000 | Test Rate: 0.00 | Rew: -301.6
Ep 4050 | Test Rate: 0.00 | Rew: -302.4
Ep 4100 | Test Rate: 0.00 | Rew: -226.8
Ep 4150 | Test Rate: 0.00 | Rew: -379.2
Ep 4200 | Test Rate: 0.00 | Rew: -244.4
Ep 4250 | Test Rate: 0.00 | Rew: -226.2
Ep 4300 | Test Rate: 0.00 | Rew: -398.0
Ep 4350 | Test Rate: 0.00 | Rew: -228.8
Ep 4400 | Test Rate: 0.00 | Rew: -209.2
Ep 4450 | Test Rate: 0.00 | Rew: -246.0
Ep 4500 | Test Rate: 0.00 | Rew: -360.0
Ep 4550 | Test Rate: 0.00 | Rew: -321.2
Ep 4600 | Test Rate: 0.00 | Rew: -284.0
Ep 4650 | Test Rate: 0.00 | Rew: -274.0
Ep 4700 | Test Rate: 0.00 | Rew: -366.0
Ep 4750 | Test Rate: 0.00 | Rew: -349.8
Ep 4800 | Test Rate: 0.00 | Rew: -313.4
Ep 4850 | Test Rate: 0.00 | Rew: -341.4
Ep 4900 | Test Rate: 0.00 | Rew: -303.4
Ep 4950 | Test Rate: 0.00 | Rew: -372.6
Ep 5000 | Test Rate: 0.00 | Rew: -321.2
