Ep 2400 | Test Rate: 0.00 | Rew: -368.8
Ep 2450 | Test Rate: 0.00 | Rew: -331.2
Ep 2500 | Test Rate: 0.00 | Rew: -352.2
Ep 2550 | Test Rate: 0.00 | Rew: -342.4
Ep 2600 | Test Rate: 0.00 | Rew: -379.4
Ep 2650 | Test Rate: 0.00 | Rew: -359.6
Ep 2700 | Test Rate: 0.00 | Rew: -339.2
Ep 2750 | Test Rate: 0.00 | Rew: -378.2
Ep 2800 | Test Rate: 0.00 | Rew: -349.4
Ep 2850 | Test Rate: 0.00 | Rew: -378.4
Ep 2900 | Test Rate: 0.10 | Rew: -318.6
Ep 2950 | Test Rate: 0.00 | Rew: -397.8
Ep 3000 | Test Rate: 0.10 | Rew: -309.2
Ep 3050 | Test Rate: 0.00 | Rew: -368.2
Ep 3100 | Test Rate: 0.00 | Rew: -397.0
Ep 3150 | Test Rate: 0.00 | Rew: -394.0
Ep 3200 | Test Rate: 0.00 | Rew: -380.0
Ep 3250 | Test Rate: 0.00 | Rew: -382.8
Ep 3300 | Test Rate: 0.00 | Rew: -386.8
Ep 3350 | Test Rate: 0.00 | Rew: -394.6
Ep 3400 | Test Rate: 0.00 | Rew: -353.4
Ep 3450 | Test Rate: 0.00 | Rew: -391.8
Ep 3500 | Test Rate: 0.00 | Rew: -387.4
Ep 3550 | Test Rate: 0.00 | Rew: -381.0
Ep 3600 | Test Rate: 0.00 | Rew: -378.2
Ep 3650 | Test Rate: 0.00 | Rew: -398.0
Ep 3700 | Test Rate: 0.00 | Rew: -386.6
Ep 3750 | Test Rate: 0.00 | Rew: -398.0
Ep 3800 | Test Rate: 0.00 | Rew: -342.2
Ep 3850 | Test Rate: 0.00 | Rew: -397.4
Ep 3900 | Test Rate: 0.00 | Rew: -398.0
Ep 3950 | Test Rate: 0.00 | Rew: -392.4
Ep 4000 | Test Rate: 0.00 | Rew: -380.0
Ep 4050 | Test Rate: 0.10 | Rew: -325.2
Ep 4100 | Test Rate: 0.10 | Rew: -333.2
Ep 4150 | Test Rate: 0.00 | Rew: -385.0
Ep 4200 | Test Rate: 0.00 | Rew: -384.2
Ep 4250 | Test Rate: 0.00 | Rew: -398.0
Ep 4300 | Test Rate: 0.00 | Rew: -397.6
Ep 4350 | Test Rate: 0.00 | Rew: -395.8
Ep 4400 | Test Rate: 0.00 | Rew: -379.8
Ep 4450 | Test Rate: 0.00 | Rew: -397.8
Ep 4500 | Test Rate: 0.00 | Rew: -397.6
Ep 4550 | Test Rate: 0.00 | Rew: -398.0
Ep 4600 | Test Rate: 0.00 | Rew: -397.6
Ep 4650 | Test Rate: 0.00 | Rew: -397.6
Ep 4700 | Test Rate: 0.00 | Rew: -388.6
Ep 4750 | Test Rate: 0.00 | Rew: -398.0
Ep 4800 | Test Rate: 0.00 | Rew: -397.4
Ep 4850 | Test Rate: 0.00 | Rew: -388.8
Ep 4900 | Test Rate: 0.00 | Rew: -397.4
Ep 4950 | Test Rate: 0.00 | Rew: -397.6
Ep 5000 | Test Rate: 0.00 | Rew: -398.0
